"soc","ocv_v","r0_ohm","r1_ohm","c1_f","r2_ohm","c2_f"
"0.01","2.65853528674461","0.00085622431833591","0.00107137009369492","3942.42970418196","0.00187988162371836","21887.5622304481"
"0.03","2.96817686338982","0.00119477834077404","0.00114408411515301","13668.8724406417","0.2","62058.1473391168"
"0.05","3.11403976093807","0.00112653124995765","0.000757253174218458","25001.1436458037","0.2","77753.9019151546"
"0.07","3.19974121433922","0.00107431232351848","0.000602632667922391","37489.6699708795","0.2","92737.1227833811"
"0.09","3.26746297886653","0.00103850996652792","0.000577100511076406","41961.5196459447","0.2","98712.7191566692"
"0.11","3.33677420466121","0.00101380606807725","0.00058612084087225","40952.4601897593","0.199999999999913","98039.0125461774"
"0.13","3.38788979913733","0.00095857308183116","0.000680473183108186","44106.4802981879","0.00456953882339956","310685.602718523"
"0.15","3.43314274916732","0.00100403995354504","0.000859208917969823","45592.881229129","0.00373962854168257","187099.119822348"
"0.17","3.46027974968043","0.000943076559415401","0.000821037390906214","46502.7135408983","0.00375606120334247","184349.785026016"
"0.19","3.47889267842575","0.000901241397010929","0.00080604468388827","46879.142166066","0.00376611658726935","183165.365624867"
"0.21","3.49500359557318","0.000869182587893604","0.000801909741812556","47039.5077798645","0.003772075005401","182660.325408493"
"0.23","3.51157635715354","0.000843652466661314","0.000802685697114353","47107.532811914","0.00377579854877601","182456.270042606"
"0.25","3.52992488856214","0.000822763370305247","0.000805534267634892","47134.7109162069","0.00377829809793591","182389.326201231"
"0.27","3.5502555138419","0.000805055472008179","0.000808244311914477","47156.7641024155","0.0037804753634174","182342.457901538"
"0.29","3.57178528507607","0.000789185348267815","0.000808889750433004","47204.4963315233","0.00378328396834739","182212.618533852"
"0.31","3.59311399362945","0.000774385234835186","0.000806823951921246","47289.9010637972","0.00378716356496132","181957.075074641"
"0.33","3.6129743631178","0.000760769706455161","0.000803190870374374","47398.5488648754","0.00379171039424392","181620.340212268"
"0.35","3.63082498769503","0.000748880586216128","0.000799948008705852","47505.7899136754","0.00379613137956672","181283.415782953"
